gender,height_cm,weight_kg,body fat_%,diastolic,systolic,gripForce,sit and bend forward_cm,sit-ups counts,broad jump_cm,class,name,address,city,state,email,birthdate,phone#
F,162.4,68.26,27.92219,81.3,122.2,21.95,6.05,18.1,140.3,B,Amanda Mcdonald,"PSC 1587, Box 9663",APO AE 84422,-,castronoah@yahoo.com,1990-07-17,245-801-2336
F,158.9,61.89,28.554614,81.3,122.8,33.18,21.19,39.4,139.0,C,Melinda Solomon,45576 Nathan Center Apt. 555,Brandonmouth, GA 80704,drewlarsen@hotmail.com,1992-06-15,6722039702
F,149.8,53.12,37.959081,75.9,132.7,16.27,26.23,12.0,131.0,A,Carla Drake,540 Ramirez Brooks,Kellychester, VA 94190,george06@hotmail.com,1980-01-13,(510)435-8045
M,181.0,80.61,20.10233,65.1,112.8,45.23,21.61,39.0,227.3,B,Dennis Phillips,94050 Ariana Tunnel Suite 394,Lake Kara, CT 24442,chungsandra@hotmail.com,1994-03-02,+1-304-939-9091
M,173.8,78.56,17.483814,81.5,122.0,46.55,12.35,42.1,191.7,A,Matthew Hendrix,3055 Edwin Crossing Suite 339,Jenniferfurt, MS 99344,lisapena@gmail.com,1991-10-12,001-742-253-6406
M,170.7,74.58,22.546413,91.8,147.0,47.99,11.84,35.0,168.8,D,Manuel Perez,Unit 8859 Box 0990,DPO AE 24404,-,faulknersean@gmail.com,1959-02-11,(897)273-1200
M,180.5,79.98,22.377091,81.0,161.9,46.04,18.88,43.5,226.8,C,Alexander Moses,73665 Mark Village Suite 374,Port Thomas, CO 82454,marymay@yahoo.com,1969-02-22,(532)717-0348
M,179.5,92.97,15.201673,80.9,136.1,50.37,14.11,42.8,244.2,C,Ruben Patel,1155 Brenda Grove,Lake Stephenhaven, MH 99281,elliseugene@yahoo.com,1978-06-03,+1-677-270-4933
F,170.7,55.98,13.750325,86.7,138.0,32.52,17.52,54.2,213.5,B,Yvonne Fletcher,6888 Patricia Hills,Wilsonfort, MS 03458,greenebryan@hotmail.com,1979-08-11,231-913-5955
M,170.1,64.0,31.926026,110.3,169.8,31.13,21.45,36.7,122.2,C,Matthew Bond,870 Washington Road,Port Sue, WV 69034,penasherry@yahoo.com,1986-09-17,+1-722-559-2591
M,160.3,41.87,14.947222,77.2,131.5,13.19,10.71,56.8,196.7,B,Jason Bryant DVM,773 Christina Overpass Apt. 763,South Christopher, TN 02446,nlee@yahoo.com,2001-12-10,001-804-629-3328
M,172.1,71.59,17.967458,90.8,168.0,53.07,13.7,48.6,245.7,B,Jason Smith,9931 Kari Port Suite 977,Port Katherinefurt, PA 99511,rebecca26@yahoo.com,2001-10-06,(653)620-0876
M,169.4,79.62,29.597987,64.5,122.2,31.17,7.43,45.7,150.3,D,Paul Bennett,9284 Allen Ports,North Jean, AZ 93322,hojanet@yahoo.com,2001-05-04,001-730-731-7461
F,175.3,78.65,20.767736,87.5,156.5,37.24,30.06,58.4,224.5,C,Yesenia Holmes,017 Watson Plains Suite 380,Virginiaville, IL 99620,bryan50@gmail.com,1993-03-10,+1-202-934-6218
F,168.5,70.04,20.675779,79.9,124.9,41.71,4.32,36.6,169.1,A,Raven Aguirre,763 Hall Stravenue Suite 919,North Thomas, LA 98307,anthonycalhoun@yahoo.com,1959-04-01,(399)366-9213
F,152.0,46.76,41.757357,61.7,116.8,13.47,14.64,5.8,102.0,D,Christine White,7387 Anthony Mount,South Sarahborough, WA 01166,baileylewis@gmail.com,1983-10-26,891-910-5889
M,182.7,81.28,13.864863,65.7,150.9,56.33,18.83,66.1,252.1,A,Dennis Harvey,74028 Lloyd Divide Suite 734,Parksberg, AK 53585,ymcdaniel@hotmail.com,1979-11-11,288-895-3061
F,159.9,62.77,23.177487,79.0,110.6,27.19,13.88,14.8,141.1,D,Angela Turner,84788 Reyes Bridge,East Michaelaton, PR 93185,apham@gmail.com,1960-01-04,694-581-9636
M,163.4,63.11,26.073042,79.4,135.7,38.52,24.92,37.5,136.2,A,Steve Greene,Unit 0781 Box 8658,DPO AA 56015,-,frederickdenise@hotmail.com,1967-10-14,+1-442-673-6429
M,171.2,65.24,23.675373,73.6,120.9,44.44,-1.59,57.6,196.9,A,Matthew Wu,342 Melanie Heights,New Jesusport, MS 11233,curtisbrian@gmail.com,1986-03-18,8697594312
M,168.1,66.18,24.465405,90.9,143.2,30.42,6.84,56.5,191.1,C,Jesus Flowers,272 Victoria Estates,Duranshire, MP 74940,tyler57@gmail.com,1977-08-17,653-503-3970
F,160.7,60.58,24.34931,78.5,132.9,29.89,19.85,20.7,169.4,D,Caitlin Nunez,472 Harrell Passage Apt. 307,North Ryan, FM 01148,rebeccarichardson@hotmail.com,2001-03-21,705-605-3118
F,161.1,73.52,42.287254,69.7,118.7,25.52,10.27,31.4,170.6,A,Anita Taylor,711 Summers Drive Suite 453,Hillton, CA 66613,mitchelltamara@hotmail.com,1997-07-28,+1-527-476-8601
F,168.2,65.27,28.42489,75.6,134.2,40.52,25.95,33.1,167.9,D,Rhonda Cooper,"PSC 9157, Box 3216",APO AE 01003,-,umiller@hotmail.com,1987-02-12,+1-569-442-5011
F,165.4,69.35,36.421879,73.3,114.0,33.74,10.2,25.9,139.1,D,Erin Johnson,11627 Sanchez Courts,Greenebury, AS 41225,sullivanpaul@hotmail.com,1995-02-17,280-365-8675
F,159.2,48.48,21.339288,82.8,135.1,25.01,15.2,36.7,169.5,C,Cheryl Daniels,8750 Adam Terrace,Oliviaview, MI 75560,kmartinez@yahoo.com,1986-05-27,422-349-5652
F,177.7,68.86,20.934659,71.3,112.8,42.28,21.03,42.4,214.2,B,Andrea Perry,4926 Moran Spring Apt. 183,West Kimberlyfort, NJ 62081,carol86@hotmail.com,1970-11-11,518-920-3652
M,183.8,70.39,9.489572,63.0,109.8,49.55,10.0,62.9,252.8,D,Justin Black,982 Michael Mountain,Williammouth, GU 39708,xadams@gmail.com,2000-12-12,347-391-0847
M,182.1,85.03,26.182126,90.7,144.6,45.31,11.16,40.3,216.6,B,William Russell,182 Barnett Trace,Humphreyborough, UT 71871,zcox@hotmail.com,1998-03-15,4843834778
M,173.6,72.62,14.33594,92.8,128.5,54.0,13.2,41.5,199.9,B,Robert Reed,19070 Odom Estates Suite 755,North Vincentshire, ND 03244,donald04@gmail.com,1959-02-12,(807)738-5428
M,180.5,92.27,26.68876,80.1,127.5,46.9,6.86,42.1,218.5,D,Edward Stone,68975 Justin Estate,North Amberville, NC 83494,maynardchristina@hotmail.com,1994-08-10,625-719-7154
M,172.2,77.62,23.00403,74.0,111.4,51.78,26.43,55.5,246.1,D,Brent Hancock,60619 Dana Glens Suite 164,South Jeff, TX 97010,georgejulia@hotmail.com,1978-12-16,(954)543-7498
M,165.3,60.61,25.254233,74.1,125.5,38.55,11.95,26.5,179.3,A,David Mccoy,967 Cheryl Island Suite 203,Jamesstad, KY 51701,smallmallory@hotmail.com,1991-08-22,(845)852-6872
F,155.4,43.32,22.341543,76.6,133.9,12.37,2.57,18.6,127.0,A,Jennifer Mullins,"PSC 3506, Box 7691",APO AP 34540,-,ashleyjackson@yahoo.com,1993-09-23,881-268-7128
M,165.3,58.06,24.820472,94.9,150.5,40.81,10.47,29.5,171.3,B,Ian Perry,739 Craig Rest Apt. 854,Tonybury, FM 04147,clarence98@gmail.com,1960-01-17,+1-809-607-6002
M,164.2,57.9,18.581949,76.6,122.5,50.26,24.91,46.0,220.9,C,Louis Jacobs,8650 Jessica Meadow Apt. 215,Lake Christopher, FL 95347,angelicajones@hotmail.com,2002-04-30,438-565-0151
F,150.6,49.82,41.361302,62.9,86.4,16.1,10.25,0.0,71.4,A,Lindsey Brown,65445 Timothy Harbors Apt. 037,Murraymouth, MN 63764,bennettalbert@hotmail.com,1978-08-04,7564888584
M,170.6,68.97,13.786059,68.3,106.2,46.13,25.9,58.4,227.7,C,Derek Salinas,628 Robert Ville,Allisonport, MS 71063,tammymclean@hotmail.com,2001-12-23,794-411-4517
F,165.5,59.97,14.733512,53.2,140.2,41.31,23.05,42.0,214.5,D,Leslie Thomas,USNS Anderson,FPO AE 68072,-,rebeccawilliams@gmail.com,1976-03-27,619-625-1298
M,176.9,76.98,16.856327,80.7,126.4,35.85,11.69,47.1,223.9,C,Nicholas Parker,1168 Shannon Spurs Suite 890,Thomasmouth, WY 47036,tclark@yahoo.com,2002-10-12,7842480516
M,170.0,66.42,18.110644,89.3,131.3,44.99,23.25,57.3,253.1,C,Justin Graham,4666 Vanessa Tunnel Apt. 004,North Maryport, NY 95928,mark72@gmail.com,1991-01-25,(219)231-4006
M,158.0,56.19,26.742046,69.4,130.3,31.97,22.23,31.1,178.1,C,Douglas Nguyen,39481 Ricardo Mills Suite 018,Mariamouth, PA 02933,burnsamanda@yahoo.com,1964-12-04,+1-711-831-8630
M,185.8,88.66,11.484631,76.5,153.9,60.02,0.23,47.9,247.2,D,Nathan Henderson,854 Luna Pass,Kristiestad, MT 16688,stevensjesse@gmail.com,1997-08-24,001-428-263-0512
F,172.3,63.61,19.204493,77.6,117.3,37.8,8.03,38.1,204.9,D,Ashley Holmes,4668 Amber Lakes,East Roger, NE 61700,vickiemorales@hotmail.com,2002-06-10,374-216-9774
M,165.7,63.82,18.202825,71.9,122.4,44.72,24.92,57.6,225.4,C,Lawrence White,"PSC 0274, Box 5103",APO AP 20939,-,randy29@yahoo.com,2001-06-27,344-332-2917
F,162.2,55.78,27.805668,64.0,119.0,18.83,20.73,33.2,139.1,C,Casey Carlson,93168 Crystal Port,Crystalview, WV 31718,edgarfernandez@hotmail.com,1998-01-21,001-445-343-8464
F,169.8,78.31,27.275688,71.1,141.9,31.73,7.94,44.1,181.5,D,Sharon Perkins,73770 Tina Road Apt. 431,Port Joshuamouth, AR 18348,omiles@gmail.com,1994-03-29,877-258-5659
M,178.8,71.44,19.336657,65.0,131.0,45.59,24.63,47.5,201.4,B,Michael Michael,029 Sharon Stravenue,South Ashley, DC 74187,jonathan74@yahoo.com,1992-05-16,287-700-1568
